manzana,mnz_correct_svy,mnz_frisk_count,mnz_idcheck_count,mnz_drug_count,mnz_reten_count,mnz_arrest_count
7600110000000018140129,0.0,1.0,0.0,0.0,0.0,0.0
7600110000000018070201,1.0,1.0,0.0,0.0,0.0,0.0
7600110000000018140460,1.0,1.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,1.0,0.0,0.0,0.0,0.0
7600110000000020100223,1.0,0.0,0.0,0.0,0.0,0.0
7600110000000020110328,1.0,0.0,0.0,0.0,0.0,0.0
7600110000000020090203,1.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0
7600110000000020090315,1.0,0.0,0.0,0.0,0.0,0.0
7600110000000020020104,1.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0
7600110000000020100115,1.0,1.0,0.0,0.0,0.0,0.0
7600110000000018020106,1.0,1.0,0.0,0.0,0.0,0.0
7600110000000018040103,1.0,2.0,0.0,0.0,0.0,0.0
,0.0,1.0,0.0,0.0,0.0,0.0
,0.0,2.0,0.0,1.0,0.0,0.0
7600110000000018020326,1.0,0.0,0.0,0.0,0.0,0.0
,0.0,1.0,0.0,0.0,0.0,0.0
,0.0,2.0,1.0,0.0,0.0,0.0
,0.0,5.0,3.0,1.0,0.0,0.0
,0.0,1.0,0.0,1.0,0.0,0.0
,0.0,0.0,0.0,1.0,0.0,0.0
,0.0,2.0,0.0,0.0,0.0,0.0
,0.0,1.0,0.0,0.0,0.0,0.0
,0.0,1.0,0.0,0.0,0.0,0.0
,0.0,3.0,0.0,0.0,0.0,0.0
,0.0,1.0,0.0,1.0,0.0,0.0
,0.0,1.0,0.0,0.0,0.0,0.0
,0.0,2.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0
7600110000000018100111,1.0,1.0,1.0,0.0,0.0,0.0
,0.0,0.0,1.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0
7600110000000018140133,1.0,1.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0
7600110000000020010104,1.0,0.0,0.0,0.0,0.0,0.0
